Date,Rainfall,Precipitation,PrecipitationHours,ShortwaveRadiation,Evapotranspiration,TempMean,TempMin,TempMax,ApparentTempMean,WindSpeedMax,WindGustMax
1979-01-01,0.4,0.4,4.0,16.45,3.52,26.7,24.0,30.5,30.8,9.0,23.0
1979-01-02,0.0,0.0,0.0,17.81,3.71,26.6,22.9,30.7,30.9,8.1,20.9
1979-01-03,0.1,0.1,1.0,17.34,3.82,26.6,22.4,31.4,30.3,10.0,19.4
1979-01-04,0.0,0.0,0.0,18.77,3.97,26.4,22.3,31.0,30.5,9.6,21.6
1979-01-05,0.1,0.1,1.0,18.95,4.08,26.3,22.4,31.3,29.9,10.0,22.3
1979-01-06,0.0,0.0,0.0,19.5,4.23,26.1,21.5,31.5,29.3,9.6,20.9
1979-01-07,0.0,0.0,0.0,20.39,4.52,25.8,21.4,31.1,28.5,11.5,22.3
1979-01-08,0.0,0.0,0.0,20.02,4.41,25.6,21.4,31.5,28.3,14.3,28.1
1979-01-09,0.0,0.0,0.0,20.26,4.4,25.8,21.0,31.6,28.5,13.1,23.0
1979-01-10,0.0,0.0,0.0,17.31,3.91,25.8,22.0,30.7,28.6,12.2,21.6
1979-01-11,0.0,0.0,0.0,18.77,4.39,26.4,22.3,32.0,29.0,13.8,24.5
1979-01-12,0.0,0.0,0.0,18.44,4.32,26.3,22.3,31.6,28.8,15.5,28.8
1979-01-13,0.7,0.7,4.0,14.64,3.42,25.8,22.9,30.0,28.7,12.6,27.4
1979-01-14,0.0,0.0,0.0,17.97,4.16,25.4,21.3,30.8,27.7,12.5,25.6
1979-01-15,0.1,0.1,1.0,18.93,4.22,25.6,21.2,30.7,28.3,12.2,24.1
1979-01-16,0.0,0.0,0.0,22.33,4.9,25.8,20.4,31.8,28.3,12.1,24.5
1979-01-17,0.0,0.0,0.0,19.95,4.45,25.9,21.1,31.6,28.6,13.4,27.7
1979-01-18,0.0,0.0,0.0,18.41,4.23,26.1,21.5,32.0,28.7,12.8,26.6
1979-01-19,0.0,0.0,0.0,18.74,4.25,26.3,21.9,31.9,29.0,12.1,24.1
1979-01-20,0.0,0.0,0.0,19.38,4.35,26.5,21.3,32.2,29.4,10.0,21.6
1979-01-21,0.0,0.0,0.0,20.87,4.84,27.1,22.1,33.4,30.0,12.0,24.5
1979-01-22,0.0,0.0,0.0,20.99,5.02,27.6,22.3,34.1,30.4,12.3,27.4
1979-01-23,0.6,0.6,3.0,15.41,3.79,27.6,24.1,32.6,30.5,12.1,39.6
1979-01-24,0.0,0.0,0.0,22.56,5.26,27.5,22.7,33.6,30.2,12.9,25.2
1979-01-25,0.0,0.0,0.0,22.29,5.02,27.0,22.2,32.8,29.5,11.4,24.1
1979-01-26,0.0,0.0,0.0,20.12,4.62,26.7,21.8,32.3,29.1,12.0,22.3
1979-01-27,0.0,0.0,0.0,21.03,4.8,26.5,21.6,32.8,29.3,13.0,28.4
1979-01-28,0.0,0.0,0.0,20.74,4.83,27.2,22.7,33.3,30.2,15.8,31.3
1979-01-29,0.0,0.0,0.0,19.11,4.29,27.0,23.2,31.9,30.8,13.4,27.4
1979-01-30,0.0,0.0,0.0,21.86,4.74,27.4,23.4,32.7,31.9,10.9,19.8
1979-01-31,0.7,0.7,3.0,16.81,3.82,27.1,23.6,31.3,31.1,12.1,27.4
1979-02-01,0.1,0.1,1.0,7.94,2.07,26.1,24.6,28.0,29.6,11.2,28.8
1979-02-02,0.1,0.1,1.0,18.51,3.96,26.6,22.8,30.7,30.3,9.5,19.8
1979-02-03,0.0,0.0,0.0,17.95,4.09,26.7,22.1,31.5,29.8,13.8,26.6
1979-02-04,0.0,0.0,0.0,19.41,4.45,26.8,21.8,31.6,29.9,13.0,24.1
1979-02-05,0.0,0.0,0.0,21.21,4.68,27.0,21.3,32.0,30.1,10.6,22.3
1979-02-06,0.1,0.1,1.0,21.59,4.91,27.2,22.6,32.8,30.2,14.2,29.2
1979-02-07,0.0,0.0,0.0,21.97,5.11,27.4,22.7,33.3,30.4,12.9,25.9
1979-02-08,0.0,0.0,0.0,20.48,4.88,27.2,22.6,32.7,29.6,12.6,23.8
1979-02-09,0.0,0.0,0.0,23.28,5.58,27.3,22.6,33.0,29.4,13.0,25.6
1979-02-10,0.0,0.0,0.0,22.22,5.44,27.6,23.7,33.5,29.6,12.1,28.1
1979-02-11,0.0,0.0,0.0,22.76,5.39,27.6,22.4,33.8,30.3,14.5,28.8
1979-02-12,0.0,0.0,0.0,22.63,5.74,28.2,24.4,33.7,30.8,15.4,36.4
1979-02-13,0.0,0.0,0.0,22.67,5.53,28.0,24.3,33.8,30.8,15.0,31.7
1979-02-14,0.4,0.4,2.0,20.68,4.88,27.7,24.1,33.0,31.3,13.3,28.8
1979-02-15,0.0,0.0,0.0,18.62,4.46,27.6,23.7,32.4,31.0,12.3,25.9
1979-02-16,0.3,0.3,2.0,19.72,4.65,27.6,24.1,32.9,30.6,13.2,22.3
1979-02-17,0.0,0.0,0.0,20.83,4.88,27.1,23.1,32.7,30.2,16.9,32.0
1979-02-18,0.0,0.0,0.0,21.48,5.0,26.9,22.3,33.1,29.8,15.6,29.9
1979-02-19,0.0,0.0,0.0,21.36,5.02,27.1,22.6,32.9,29.7,14.3,25.9
1979-02-20,0.0,0.0,0.0,22.37,4.85,27.0,22.0,32.6,30.7,11.6,20.9
1979-02-21,0.0,0.0,0.0,20.94,4.84,27.3,22.6,33.2,30.9,14.1,25.9
1979-02-22,0.0,0.0,0.0,21.51,4.91,27.1,23.2,32.9,30.7,12.8,24.8
1979-02-23,0.1,0.1,1.0,20.16,4.56,27.4,23.1,33.5,31.3,10.9,20.2
1979-02-24,0.0,0.0,0.0,22.43,5.07,28.2,23.2,34.5,32.4,11.6,22.0
1979-02-25,0.0,0.0,0.0,22.11,5.16,28.6,23.4,34.8,32.9,13.9,28.4
1979-02-26,0.0,0.0,0.0,21.93,5.24,28.5,25.0,33.9,32.5,18.0,34.6
1979-02-27,0.0,0.0,0.0,25.35,6.09,27.7,24.1,33.5,30.4,16.4,33.5
1979-02-28,0.0,0.0,0.0,25.62,5.97,27.3,22.2,33.9,29.7,13.2,27.7
1979-03-01,0.0,0.0,0.0,21.57,5.4,27.7,21.9,33.8,30.1,13.9,30.2
1979-03-02,0.0,0.0,0.0,20.64,5.55,29.0,24.8,34.6,31.4,12.9,38.2
1979-03-03,0.0,0.0,0.0,23.02,5.95,29.0,24.8,34.3,31.8,15.2,27.7
1979-03-04,0.0,0.0,0.0,21.02,5.2,28.6,25.1,33.4,31.7,14.4,27.0
1979-03-05,0.0,0.0,0.0,22.92,5.73,28.6,24.4,35.0,31.7,16.0,31.3
1979-03-06,0.0,0.0,0.0,21.72,5.48,28.6,24.9,33.3,31.6,13.8,27.4
1979-03-07,0.7,0.7,2.0,21.63,5.05,27.7,24.4,32.6,31.3,15.7,33.1
1979-03-08,0.3,0.3,1.0,22.94,5.33,28.0,23.6,34.1,32.3,14.8,32.0
1979-03-09,0.3,0.3,2.0,17.89,4.32,27.9,24.4,32.5,31.7,14.6,29.5
1979-03-10,0.0,0.0,0.0,23.75,5.62,28.4,24.3,34.3,32.3,13.7,26.6
1979-03-11,0.4,0.4,1.0,20.44,4.94,28.5,24.2,34.1,32.4,12.0,27.7
1979-03-12,0.4,0.4,2.0,21.69,5.06,29.4,25.6,35.0,34.2,11.5,25.6
1979-03-13,7.3,7.3,9.0,19.05,4.24,28.4,25.7,32.3,33.6,12.3,30.2
1979-03-14,2.5,2.5,8.0,18.94,4.26,28.1,26.0,32.4,33.0,15.2,33.8
1979-03-15,0.0,0.0,0.0,24.82,5.74,28.3,25.1,33.1,32.2,14.3,29.5
1979-03-16,0.1,0.1,1.0,24.75,5.84,28.0,24.3,32.9,31.2,15.7,33.5
1979-03-17,0.2,0.2,1.0,23.94,5.66,28.2,24.2,34.1,32.0,19.1,37.1
1979-03-18,0.0,0.0,0.0,25.61,6.2,28.5,24.3,34.5,31.7,16.8,34.6
1979-03-19,0.0,0.0,0.0,21.75,5.38,28.5,24.1,33.8,32.3,16.3,35.3
1979-03-20,1.8,1.8,4.0,19.97,4.57,28.3,25.1,33.3,33.1,14.4,34.9
1979-03-21,0.7,0.7,3.0,20.81,4.95,28.6,24.9,33.8,33.3,14.7,31.3
1979-03-22,0.7,0.7,2.0,22.65,5.43,28.8,25.0,34.5,33.2,15.8,37.4
1979-03-23,0.4,0.4,1.0,24.0,5.65,29.1,24.8,35.0,33.9,14.2,28.4
1979-03-24,0.0,0.0,0.0,24.69,6.08,29.2,25.3,35.0,33.1,17.6,37.4
1979-03-25,0.0,0.0,0.0,26.95,7.05,30.0,25.4,36.6,33.0,16.8,36.4
1979-03-26,0.0,0.0,0.0,26.77,7.32,30.1,25.9,36.9,32.4,19.9,41.4
